# weight minuslogpost logA ns wdm H0 ombh2 omch2 tau As omegam omegamh2 omega_de YHe Y_p DHBBN zrei sigma8 s8h5 s8omegamp5 s8omegamp25 A clamp age rdrag hrd S8 chi2__BAO chi2__SN minuslogprior minuslogprior__0 chi2 chi2__bao.desi_dr2 chi2__sn.desdovekie
14 8.30651320e+02 2.74785170e+00 1.13430730e+00 2.42421120e-02 9.30356160e+01 1.93300150e-02 2.14062810e-01 1.40089330e-01 1.56090620e-09 2.70387940e-01 2.34037690e-01 7.29570320e-01 2.43965840e-01 2.45290590e-01 3.26655800e+00 10 2.73476250e+00 2.83527380e+00 1.42204480e+00 1.97204330e+00 1.56090620e+00 1.17949680e+00 1.01996140e+01 1.09501720e+02 1.01875600e+02 2.59628670e+00 1.71677090e+01 1.64283860e+03 6.48161230e-01 6.48161230e-01 1.66000630e+03 1.71677090e+01 1.64283860e+03
15 8.28693970e+02 1.67111260e+00 8.45290530e-01 2.44701780e-02 9.25061030e+01 1.80071130e-02 2.12191240e-01 1.26764310e-01 5.31808170e-10 2.69759260e-01 2.30843220e-01 7.30198520e-01 2.43258000e-01 2.44580160e-01 3.65017330e+00 10 1.32985260e+00 1.38266920e+00 6.90703530e-01 9.58401720e-01 5.31808170e-01 4.12713730e-01 1.02613690e+01 1.10571980e+02 1.02285830e+02 1.26104630e+00 1.30134140e+01 1.64307820e+03 6.48161230e-01 6.48161230e-01 1.65609160e+03 1.30134140e+01 1.64307820e+03
9 8.28847880e+02 2.26174060e+00 8.40641080e-01 2.35412760e-02 9.30798630e+01 1.97871940e-02 2.13679130e-01 1.86351040e-01 9.59978420e-10 2.70215780e-01 2.34111190e-01 7.29742520e-01 2.44201750e-01 2.45527370e-01 3.14887440e+00 10 1.72298790e+00 1.78588860e+00 8.95648470e-01 1.24225260e+00 9.59978420e-01 6.61300750e-01 1.02034270e+01 1.09853000e+02 1.02251022e+02 1.63522290e+00 1.33232590e+01 1.64307620e+03 6.48161230e-01 6.48161230e-01 1.65639940e+03 1.33232590e+01 1.64307620e+03
77 8.30252940e+02 2.24118280e+00 8.40007230e-01 1.86940590e-02 9.80107650e+01 3.12936840e-02 2.29087390e-01 1.73932650e-01 9.40444870e-10 2.71729070e-01 2.61025940e-01 7.28233320e-01 2.48527360e-01 2.49868690e-01 1.47323530e+00 10 1.44616200e+00 1.46076400e+00 7.53850110e-01 1.04412130e+00 9.40444870e-01 6.64136520e-01 9.72378870e+00 1.04261170e+02 1.02187170e+02 1.37633570e+00 1.57388210e+01 1.64347070e+03 6.48161230e-01 6.48161230e-01 1.65920960e+03 1.57388210e+01 1.64347070e+03
24 8.30534200e+02 3.25118910e+00 1.02783390e+00 1.78166830e-02 9.93173590e+01 3.38476440e-02 2.33560370e-01 2.23756680e-01 2.58210260e-09 2.71750380e-01 2.68052880e-01 7.28212990e-01 2.49230980e-01 2.50574850e-01 1.28128690e+00 10 2.64200170e+00 2.65106580e+00 1.37726710e+00 1.90754870e+00 2.58210260e+00 1.65052040e+00 9.60406340e+00 1.02920400e+02 1.02217823e+02 2.51453420e+00 1.61086200e+01 1.64366350e+03 6.48161230e-01 6.48161230e-01 1.65977210e+03 1.61086200e+01 1.64366350e+03
18 8.29241400e+02 2.61949310e+00 1.17410260e+00 1.68687630e-02 9.99168260e+01 3.53787150e-02 2.36175520e-01 1.61790920e-01 1.37287630e-09 2.72652470e-01 2.72199100e-01 7.27311350e-01 2.49623440e-01 2.50968720e-01 1.18171190e+00 10 2.06610740e+00 2.06696720e+00 1.07884140e+00 1.49298430e+00 1.37287630e+00 9.93348440e-01 9.54614710e+00 1.02478300e+02 1.02393065e+02 1.96968590e+00 1.37729080e+01 1.64341360e+03 6.48161230e-01 6.48161230e-01 1.65718650e+03 1.37729080e+01 1.64341360e+03
2 8.29311230e+02 2.62000730e+00 1.17418200e+00 1.52805020e-02 9.91958380e+01 3.53232710e-02 2.34408830e-01 2.07270160e-01 1.37358240e-09 2.74778530e-01 2.70376970e-01 7.25184760e-01 2.49609790e-01 2.50955010e-01 1.18510580e+00 10 1.94384280e+00 1.95170600e+00 1.01894920e+00 1.40736530e+00 1.37358240e+00 9.07448810e-01 9.60820220e+00 1.03938850e+02 1.03103013e+02 1.86033820e+00 1.46447900e+01 1.64268130e+03 6.48161230e-01 6.48161230e-01 1.65732610e+03 1.46447900e+01 1.64268130e+03
54 8.27862440e+02 3.14223970e+00 1.05182770e+00 1.63947960e-02 9.83958190e+01 3.35690780e-02 2.31961740e-01 2.21129150e-01 2.31556720e-09 2.74925540e-01 2.66175680e-01 7.25037150e-01 2.49154270e-01 2.50497870e-01 1.30042180e+00 10 2.40955530e+00 2.42911780e+00 1.26341040e+00 1.74478000e+00 2.31556720e+00 1.48794560e+00 9.67489360e+00 1.04374970e+02 1.02700607e+02 2.30666120e+00 1.20475450e+01 1.64238100e+03 6.48161230e-01 6.48161230e-01 1.65442860e+03 1.20475450e+01 1.64238100e+03
130 8.26811720e+02 2.22055800e+00 8.28078820e-01 1.40925990e-02 9.86742410e+01 3.82475810e-02 2.37659900e-01 7.90293400e-01 9.21247020e-10 2.84033630e-01 2.76552350e-01 7.15929260e-01 2.50338630e-01 2.51686470e-01 1.02168750e+00 10 1.20508010e+00 1.21314860e+00 6.42245100e-01 8.79748130e-01 9.21247020e-01 1.89642630e-01 9.58174720e+00 1.02865000e+02 1.01501258e+02 1.17257380e+00 1.34322850e+01 1.63889480e+03 6.48161230e-01 6.48161230e-01 1.65232710e+03 1.34322850e+01 1.63889480e+03
60 8.26691220e+02 3.76161600e+00 1.01723470e+00 1.36620390e-02 9.90826390e+01 3.92915510e-02 2.38183780e-01 7.83295330e-01 4.30178870e-09 2.83294010e-01 2.78120190e-01 7.16669190e-01 2.50583270e-01 2.51931980e-01 9.69864720e-01 10 2.89394110e+00 2.90730700e+00 1.54031090e+00 2.11129550e+00 4.30178870e+00 8.98022860e-01 9.55304960e+00 1.02581720e+02 1.01640675e+02 2.81221000e+00 1.28265490e+01 1.63925960e+03 6.48161230e-01 6.48161230e-01 1.65208610e+03 1.28265490e+01 1.63925960e+03
