# weight minuslogpost logA ns wdm H0 ombh2 omch2 tau As omegam omegamh2 omega_de YHe Y_p DHBBN zrei sigma8 s8h5 s8omegamp5 s8omegamp25 A clamp age rdrag hrd S8 chi2__BAO chi2__SN minuslogprior minuslogprior__0 chi2 chi2__bao.desi_dr2 chi2__sn.desdovekie
6 8.23633420e+02 3.79995940e+00 8.91932850e-01 -1.31842280e-01 7.36117900e+01 7.45094140e-02 1.45381440e-01 2.10849250e-01 4.46993680e-09 4.06990420e-01 2.20535720e-01 5.92942910e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 8.24154610e-02 9.60583240e-02 5.25776030e-02 6.58271020e-02 4.46993680e+00 2.93197360e+00 1.27093250e+01 1.34010060e+02 9.86472039e+01 9.59931310e-02 1.35695360e+01 1.63240100e+03 6.48161230e-01 6.48161230e-01 1.64597050e+03 1.35695360e+01 1.63240100e+03
41 8.23834580e+02 3.29046580e+00 1.19583890e+00 -1.21430610e-01 7.00507080e+01 6.57832600e-02 1.33754070e-01 4.74891110e-01 2.68553690e-09 4.07943860e-01 2.00182200e-01 5.91982520e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 6.02715300e-02 7.20121790e-02 3.84957170e-02 4.81684110e-02 2.68553690e+00 1.03883350e+00 1.32857240e+01 1.40339580e+02 9.83088694e+01 7.02832430e-02 1.31788310e+01 1.63319400e+03 6.48161230e-01 6.48161230e-01 1.64637280e+03 1.31788310e+01 1.63319400e+03
1 8.24506140e+02 3.28485680e+00 1.19698520e+00 -1.40712400e-01 7.91867370e+01 8.71737190e-02 1.66480430e-01 5.34856020e-01 2.67051590e-09 4.05545690e-01 2.54299010e-01 5.94396700e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 6.17941880e-02 6.94418700e-02 3.93520650e-02 4.93125630e-02 2.67051590e+00 9.16273520e-01 1.18756890e+01 1.25688400e+02 9.95285427e+01 7.18467120e-02 1.59639460e+01 1.63175200e+03 6.48161230e-01 6.48161230e-01 1.64771600e+03 1.59639460e+01 1.63175200e+03
39 8.23669320e+02 3.28625960e+00 1.19707790e+00 -1.40499100e-01 7.87570540e+01 8.67817220e-02 1.64037270e-01 5.01080080e-01 2.67426490e-09 4.05412050e-01 2.51463860e-01 5.94529710e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 6.21475470e-02 7.00292150e-02 3.95705710e-02 4.95904620e-02 2.67426490e+00 9.81684190e-01 1.19358020e+01 1.25947290e+02 9.91923752e+01 7.22456470e-02 1.42647220e+01 1.63177760e+03 6.48161230e-01 6.48161230e-01 1.64604230e+03 1.42647220e+01 1.63177760e+03
2 8.25527170e+02 1.92142730e+00 1.11550230e+00 -1.40941130e-01 7.92326160e+01 8.67290430e-02 1.66103170e-01 5.56739990e-01 6.83070120e-10 4.03766890e-01 2.53477080e-01 5.96175560e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 3.13555300e-02 3.52259040e-02 1.99241360e-02 2.49946360e-02 6.83070120e-01 2.24329850e-01 1.18866490e+01 1.25975340e+02 9.98135574e+01 3.63763290e-02 1.82071980e+01 1.63155080e+03 6.48161230e-01 6.48161230e-01 1.64975800e+03 1.82071980e+01 1.63155080e+03
10 8.25572820e+02 1.88990240e+00 8.73595500e-01 -1.41957700e-01 7.92586800e+01 8.68466700e-02 1.66454080e-01 5.77225220e-01 6.61872260e-10 4.04247240e-01 2.53945620e-01 5.95695260e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 3.20756340e-02 3.60289690e-02 2.03938290e-02 2.55762590e-02 6.61872260e-01 2.08642470e-01 1.18853740e+01 1.25937970e+02 9.98167726e+01 3.72338680e-02 1.83014970e+01 1.63154780e+03 6.48161230e-01 6.48161230e-01 1.64984930e+03 1.83014970e+01 1.63154780e+03
2 8.25824910e+02 1.88999830e+00 8.73630640e-01 -1.42047690e-01 7.95628920e+01 8.74378890e-02 1.67161710e-01 5.75063210e-01 6.61935750e-10 4.03213650e-01 2.55244470e-01 5.96729280e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 3.21342510e-02 3.60257390e-02 2.04049620e-02 2.56066040e-02 6.61935750e-01 2.09566700e-01 1.18482710e+01 1.25569820e+02 9.99069803e+01 3.72541940e-02 1.89005930e+01 1.63145290e+03 6.48161230e-01 6.48161230e-01 1.65035350e+03 1.89005930e+01 1.63145290e+03
11 8.24052930e+02 3.60921810e+00 1.12790830e+00 -1.39421670e-01 7.21109940e+01 7.05606840e-02 1.42961760e-01 4.42877520e-01 3.69371620e-09 4.11860580e-01 2.14167310e-01 5.88069950e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 6.84764420e-02 8.06381290e-02 4.39456910e-02 5.48565820e-02 3.69371620e+00 1.52329840e+00 1.29989950e+01 1.37335140e+02 9.90337346e+01 8.02334870e-02 1.43715020e+01 1.63243800e+03 6.48161230e-01 6.48161230e-01 1.64680950e+03 1.43715020e+01 1.63243800e+03
13 8.23495890e+02 2.56770780e+00 1.05085580e+00 -1.22989310e-01 6.09305510e+01 4.39195210e-02 1.04757130e-01 2.62360150e-01 1.30359090e-09 4.02209360e-01 1.49321510e-01 5.97693330e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 3.65173710e-02 4.67823410e-02 2.31593080e-02 2.90812150e-02 1.30359090e+00 7.71361930e-01 1.54211780e+01 1.62728220e+02 9.91512011e+01 4.22829190e-02 1.38719320e+01 1.63182350e+03 6.48161230e-01 6.48161230e-01 1.64569550e+03 1.38719320e+01 1.63182350e+03
8 8.23574440e+02 3.80049640e+00 9.31686340e-01 -1.22852060e-01 6.05416330e+01 4.28804770e-02 1.03198130e-01 1.91581690e-01 4.47233810e-09 4.00305310e-01 1.46723480e-01 5.99596120e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 6.92505880e-02 8.90013110e-02 4.38146300e-02 5.50834720e-02 4.47233810e+00 3.04879970e+00 1.55442330e+01 1.64026600e+02 9.93043822e+01 7.99942030e-02 1.42418290e+01 1.63161070e+03 6.48161230e-01 6.48161230e-01 1.64585260e+03 1.42418290e+01 1.63161070e+03
